origin,country,iso3c,n_docs,pos_total,neg_total,net_total,pos_mean_per_doc,neg_mean_per_doc,net_mean_per_doc
CAN,Canada,CAN,104,1020.1636920160887,366.81248032533534,579.9887156256863,9.809266269385468,3.527043080051302,5.576814573323905
CAN,United States,USA,17,73.4442284668224,25.756118444124354,42.53688633387317,4.320248733342494,1.5150657908308445,2.5021697843454804
CAN,Ukraine,UKR,32,392.03037305536884,298.0320815670381,34.39187517492306,12.250949157980273,9.31350254896994,1.0747460992163451
CAN,Venezuela,VEN,5,26.269453998911303,0,26.269453998911303,5.25389079978226,0,5.25389079978226
CAN,Hong Kong SAR China,HKG,4,22.2820765227838,0,22.2820765227838,5.570519130695949,0,5.570519130695949
CAN,Myanmar (Burma),MMR,2,19.449286974338932,0,19.449286974338932,9.724643487169466,0,9.724643487169466
CAN,Mexico,MEX,6,19.0711946659444,0,19.0711946659444,3.178532444324067,0,3.178532444324067
CAN,Pakistan,PAK,1,17.10905754594483,0,17.10905754594483,17.10905754594483,0,17.10905754594483
CAN,South Korea,KOR,4,24.829288528485872,9.227295973317684,13.756533360504651,6.207322132121468,2.306823993329421,3.439133340126163
CAN,Iraq,IRQ,1,17.309938256308488,3.0243817644968085,13.680680138912317,17.309938256308488,3.0243817644968085,13.680680138912317
CAN,United Kingdom,GBR,3,13.197582601348625,0,13.197582601348625,4.399194200449542,0,4.399194200449542
CAN,France,FRA,2,18.6480305156105,5.933250641871773,11.528129745364371,9.32401525780525,2.9666253209358864,5.7640648726821855
CAN,Brunei,BRN,1,11.291467772005502,0,11.291467772005502,11.291467772005502,0,11.291467772005502
CAN,Georgia,GEO,2,19.999429303840994,9.468458030134572,8.637279667679508,9.999714651920497,4.734229015067286,4.318639833839754
CAN,Australia,AUS,5,15.656163375007772,6.202914208820875,8.212666324422722,3.1312326750015544,1.240582841764175,1.6425332648845439
CAN,Switzerland,CHE,2,7.888007654573724,0,7.888007654573724,3.944003827286862,0,3.944003827286862
CAN,Albania,ALB,2,6.548233309088727,0,6.548233309088727,3.2741166545443634,0,3.2741166545443634
CAN,Argentina,ARG,2,6.548233309088727,0,6.548233309088727,3.2741166545443634,0,3.2741166545443634
CAN,Congo - Brazzaville,COG,1,5.915232136369095,0,5.915232136369095,5.915232136369095,0,5.915232136369095
CAN,Zambia,ZMB,1,5.781700743744572,0,5.781700743744572,5.781700743744572,0,5.781700743744572
